Date,Service,Agence,Departement,Agent,Montant,ClientID
2024-11-15,Paiement Mobile,Labé,Finance,Agent_007,31740,CLT_6393
2024-03-29,Achat Facture Courant,Kindia,Opérations,Agent_009,24897,CLT_3612
2024-12-05,Achat Facture Courant,Kankan,Support Client,Agent_008,45974,CLT_9226
2024-07-24,Paiement Mobile,Kankan,Opérations,Agent_040,24939,CLT_4073
2024-02-23,Wallet,Kankan,Finance,Agent_018,7873,CLT_6675
2024-06-10,Wallet,Kankan,Support Client,Agent_040,25276,CLT_7863
2024-08-24,Wallet,Nzérékoré,Opérations,Agent_025,22243,CLT_7331
2024-02-10,Paiement Mobile,Nzérékoré,Ventes,Agent_025,41774,CLT_3568
2024-12-09,Paiement Mobile,Kankan,Marketing,Agent_017,34159,CLT_6892
2024-08-18,Wallet,Conakry,Support Client,Agent_007,9392,CLT_4104
2024-02-17,Transfert d'Argent,Nzérékoré,Marketing,Agent_044,11965,CLT_9154
2024-02-04,Paiement Mobile,Labé,Finance,Agent_047,14773,CLT_4840
2024-01-05,Wallet,Labé,Ventes,Agent_015,22518,CLT_6977
2024-02-11,Achat Facture Courant,Nzérékoré,Marketing,Agent_032,42523,CLT_6116
2024-04-05,Achat Facture Courant,Nzérékoré,Finance,Agent_015,34827,CLT_7668
2024-06-08,Transfert d'Argent,Labé,Marketing,Agent_022,23299,CLT_3693
2024-10-10,Achat Facture Courant,Kankan,Support Client,Agent_020,49925,CLT_6450
2024-05-07,Wallet,Kankan,Ventes,Agent_039,24776,CLT_2306
2024-04-30,Achat Facture Courant,Nzérékoré,Ventes,Agent_003,41294,CLT_9901
2024-05-16,Wallet,Nzérékoré,Ventes,Agent_042,1663,CLT_2998
2024-11-10,Wallet,Conakry,Support Client,Agent_049,47576,CLT_7585
2024-02-21,Achat Facture Courant,Kindia,Marketing,Agent_049,2636,CLT_4696
2024-03-21,Transfert d'Argent,Conakry,Opérations,Agent_002,48323,CLT_1854
2024-08-11,Paiement Mobile,Conakry,Marketing,Agent_002,22556,CLT_2707
2024-08-05,Achat Facture Courant,Kankan,Marketing,Agent_017,26342,CLT_5389
2024-10-06,Paiement Mobile,Kankan,Opérations,Agent_006,24509,CLT_2930
2024-08-27,Achat Facture Courant,Conakry,Ventes,Agent_006,16708,CLT_1659
2024-09-08,Transfert d'Argent,Kankan,Marketing,Agent_026,35754,CLT_9338
